Percentage	Tests_Executed	Lines_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	3	5126	24	3	100.00
2	7	6966	45	7	100.00
3	11	7606	62	11	100.00
4	15	9602	76	15	100.00
5	19	12766	95	19	100.00
6	23	13488	106	23	100.00
7	26	13988	116	26	100.00
8	30	17656	130	30	100.00
9	34	19972	143	34	100.00
10	38	20334	156	38	100.00
11	42	21226	168	42	100.00
12	46	22030	181	46	100.00
13	49	22382	187	49	100.00
14	53	22746	192	53	100.00
15	57	23506	199	57	100.00
16	61	24184	212	61	100.00
17	65	25558	229	65	100.00
18	69	26080	236	68	98.55
19	72	26834	242	71	98.61
20	76	27534	252	75	98.68
21	80	30226	265	79	98.75
22	84	31482	276	83	98.81
23	88	32548	284	87	98.86
24	92	32976	289	91	98.91
25	96	33168	297	95	98.96
26	99	33306	301	98	98.99
27	103	35574	314	102	99.03
28	107	37334	323	106	99.07
29	111	38146	328	108	97.30
30	115	40126	336	112	97.39
31	119	40424	345	115	96.64
32	122	40496	347	118	96.72
33	126	41634	356	122	96.83
34	130	42674	371	126	96.92
35	134	42766	372	129	96.27
36	138	43014	374	132	95.65
37	142	43788	379	134	94.37
38	145	44900	385	137	94.48
39	149	45298	387	139	93.29
40	153	45746	389	143	93.46
41	157	46138	398	147	93.63
42	161	46444	412	151	93.79
43	165	46860	417	155	93.94
44	168	47626	431	158	94.05
45	172	49156	439	162	94.19
46	176	49328	442	165	93.75
47	180	49436	447	169	93.89
48	184	49994	457	173	94.02
49	188	50094	463	176	93.62
50	192	51300	476	180	93.75
51	195	51896	480	183	93.85
52	199	52430	483	185	92.96
53	203	53218	491	189	93.10
54	207	53554	496	193	93.24
55	211	54392	505	197	93.36
56	215	55194	512	200	93.02
57	218	55542	525	203	93.12
58	222	56022	533	206	92.79
59	226	57416	537	209	92.48
60	230	57512	539	211	91.74
61	234	57924	549	214	91.45
62	238	59042	559	218	91.60
63	241	59182	561	221	91.70
64	245	59610	569	224	91.43
65	249	60246	580	228	91.57
66	253	60456	587	232	91.70
67	257	60762	591	235	91.44
68	261	61084	599	238	91.19
69	264	61158	603	241	91.29
70	268	61274	609	244	91.04
71	272	61384	614	247	90.81
72	276	63048	623	251	90.94
73	280	63130	626	254	90.71
74	284	63600	633	258	90.85
75	288	64236	634	261	90.62
76	291	64660	640	264	90.72
77	295	65044	647	267	90.51
78	299	65262	654	271	90.64
79	303	65580	658	275	90.76
80	307	65770	661	279	90.88
81	311	65864	665	283	91.00
82	314	65910	673	286	91.08
83	318	66188	677	288	90.57
84	322	66190	681	290	90.06
85	326	66344	682	291	89.26
86	330	70700	691	295	89.39
87	334	70972	697	299	89.52
88	337	72056	703	302	89.61
89	341	72216	707	305	89.44
90	345	72360	717	308	89.28
91	349	72442	723	311	89.11
92	353	72622	729	314	88.95
93	357	72764	735	317	88.80
94	360	72990	738	320	88.89
95	364	73002	740	323	88.74
96	368	73418	741	324	88.04
97	372	73768	743	326	87.63
98	376	73838	750	330	87.77
99	380	73842	752	332	87.37
100	384	73870	754	334	86.98
