Project	Signature	Hashed_Shingles	Raw_Shingles
chart_v0	0.9977	0.9898	0.9916
closure_v0	0.9213	0.9415	0.9438
flex_v3	0.9690	0.9605	0.9548
grep_v3	0.9264	0.9314	0.9376
gzip_v1	0.8852	0.8970	0.8964
lang_v0	0.9880	0.9919	0.9936
make_v1	0.9251	0.9199	0.9190
math_v0	0.9805	0.9889	0.9879
sed_v6	0.8005	0.7997	0.8049
time_v0	0.9951	0.9906	0.9925
