Project	Signature	Hashed_Shingles	Raw_Shingles
chart_v0	0.9894390843084342	0.9909904378210623	0.9915193662673153
closure_v0	0.8155449833970169	0.8560976510555734	0.8592600972487365
flex_v3	0.9448027781950379	0.8613306925329559	0.8505465195012184
grep_v3	CONST	CONST	CONST
gzip_v1	0.9789026767064816	0.9254434078298689	0.9261760110508002
lang_v0	0.9896387232425825	0.9951648593602096	0.9958198053095292
make_v1	0.8627257859031247	0.9233835080390154	0.9225827323933333
math_v0	0.9904977432750399	0.9865570133977094	0.9824730192372728
sed_v6	0.9148163916539271	0.92405302206702	0.925637788757723
time_v0	0.9621442969914452	0.9967921984279192	0.9965783939237305
