Project	Signature	Hashed_Shingles	Raw_Shingles
chart_v0	0.9966	0.9962	0.9967
closure_v0	0.9803	0.9809	0.9811
flex_v3	0.9739	0.9382	0.9309
grep_v3	0.9684	0.8286	0.8362
gzip_v1	0.9504	0.8738	0.8736
lang_v0	0.9964	0.9984	0.9985
make_v1	0.9316	0.8842	0.8839
math_v0	0.9980	0.9968	0.9955
sed_v6	0.9187	0.9181	0.9208
time_v0	0.9925	0.9963	0.9964
