Percentage	Tests_Executed	Lines_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	1	3094	10	1	100.00
2	2	3978	15	2	100.00
3	3	4110	18	3	100.00
4	4	5064	22	4	100.00
5	6	5610	31	6	100.00
6	7	6356	34	7	100.00
7	8	6484	36	8	100.00
8	9	6526	36	9	100.00
9	10	6624	36	10	100.00
10	12	6836	37	11	91.67
11	13	6970	37	12	92.31
12	14	6974	45	13	92.86
13	15	7002	55	14	93.33
14	17	8068	57	16	94.12
15	18	8216	58	17	94.44
16	19	8216	58	18	94.74
17	20	8272	58	19	95.00
18	21	8360	58	20	95.24
19	23	8596	59	21	91.30
20	24	8830	60	22	91.67
21	25	8892	61	23	92.00
22	26	9046	62	24	92.31
23	28	9440	62	26	92.86
24	29	9576	64	27	93.10
25	30	10084	65	28	93.33
26	31	10186	66	29	93.55
27	32	10270	67	30	93.75
28	34	10846	68	32	94.12
29	35	10864	68	32	91.43
30	36	10968	71	33	91.67
31	37	11006	71	33	89.19
32	39	11056	80	34	87.18
33	40	11064	80	34	85.00
34	41	11146	80	35	85.37
35	42	11336	80	36	85.71
36	43	11422	80	37	86.05
37	45	11564	81	39	86.67
38	46	11564	81	40	86.96
39	47	11622	81	41	87.23
40	48	11676	82	42	87.50
41	50	11754	84	44	88.00
42	51	11840	84	44	86.27
43	52	11894	85	45	86.54
44	53	12198	85	45	84.91
45	54	12198	85	45	83.33
46	56	12520	86	47	83.93
47	57	12614	86	48	84.21
48	58	12788	86	49	84.48
49	59	12870	86	49	83.05
50	61	13026	87	50	81.97
51	62	13242	90	51	82.26
52	63	13326	91	52	82.54
53	64	13398	92	53	82.81
54	65	13402	92	53	81.54
55	67	13534	92	54	80.60
56	68	13536	92	54	79.41
57	69	13558	92	55	79.71
58	70	13562	93	56	80.00
59	71	13598	93	57	80.28
60	73	13746	93	57	78.08
61	74	13818	93	57	77.03
62	75	13856	93	58	77.33
63	76	13864	98	59	77.63
64	78	13888	98	59	75.64
65	79	14182	98	59	74.68
66	80	14288	98	60	75.00
67	81	14480	99	61	75.31
68	82	14494	100	62	75.61
69	84	14678	100	63	75.00
70	85	14822	102	64	75.29
71	86	15000	103	65	75.58
72	87	15040	103	66	75.86
73	89	15152	104	68	76.40
74	90	15250	104	69	76.67
75	91	15370	105	70	76.92
76	92	15384	106	71	77.17
77	93	15598	108	72	77.42
78	95	15598	108	73	76.84
79	96	15604	108	74	77.08
80	97	15604	109	75	77.32
81	98	15610	109	76	77.55
82	100	16190	112	78	78.00
83	101	16288	112	78	77.23
84	102	16384	113	79	77.45
85	103	16434	113	80	77.67
86	104	16530	113	80	76.92
87	106	16532	113	81	76.42
88	107	16730	113	82	76.64
89	108	16748	113	82	75.93
90	109	16760	113	83	76.15
91	111	16802	114	85	76.58
92	112	17204	115	86	76.79
93	113	17224	115	86	76.11
94	114	17264	115	87	76.32
95	115	17390	116	88	76.52
96	117	17404	119	90	76.92
97	118	17408	119	91	77.12
98	119	17408	119	92	77.31
99	120	17434	119	93	77.50
100	122	17590	121	95	77.87
